user_id,days,steps_tried,correct,wrong,viewed
21115,3.0,7.0,8.0,8.0,51
12320,0.0,0.0,0.0,0.0,2
12715,0.0,0.0,0.0,0.0,3
12445,4.0,28.0,28.0,42.0,162
16434,0.0,0.0,0.0,0.0,1
3518,3.0,39.0,39.0,22.0,131
10833,1.0,1.0,1.0,0.0,29
20116,0.0,0.0,0.0,0.0,1
14816,2.0,16.0,16.0,18.0,121
7081,4.0,32.0,34.0,5.0,103
6393,2.0,8.0,8.0,1.0,41
15577,2.0,7.0,7.0,1.0,29
13781,1.0,2.0,2.0,1.0,16
8091,1.0,2.0,2.0,0.0,6
3853,0.0,0.0,0.0,0.0,1
15447,5.0,26.0,23.0,30.0,141
14081,2.0,9.0,9.0,1.0,43
17336,0.0,0.0,0.0,0.0,1
15678,4.0,50.0,49.0,25.0,253
23607,0.0,0.0,0.0,0.0,3
5607,0.0,0.0,0.0,0.0,11
20598,0.0,0.0,0.0,0.0,1
25759,0.0,0.0,0.0,0.0,3
23122,0.0,0.0,0.0,0.0,1
2302,0.0,0.0,0.0,0.0,2
5847,1.0,8.0,8.0,8.0,43
5647,4.0,23.0,25.0,16.0,98
2319,0.0,0.0,0.0,0.0,5
2234,6.0,50.0,49.0,17.0,151
9281,0.0,0.0,0.0,0.0,1
2363,5.0,24.0,25.0,73.1299999999992,136
15683,0.0,0.0,0.0,0.0,1
720,0.0,0.0,0.0,0.0,3
16842,6.0,50.0,49.0,29.0,193
16607,0.0,0.0,0.0,0.0,7
23210,0.0,0.0,0.0,0.0,1
23070,0.0,0.0,0.0,0.0,1
21170,0.0,0.0,0.0,0.0,2
24273,1.0,28.0,28.0,14.0,86
1930,0.0,0.0,0.0,0.0,1
477,1.0,1.0,1.0,0.0,24
25769,1.0,2.0,2.0,0.0,19
22817,0.0,0.0,0.0,0.0,2
13030,0.0,0.0,0.0,0.0,3
12325,1.0,2.0,2.0,0.0,21
5313,0.0,0.0,0.0,0.0,2
18299,0.0,0.0,0.0,0.0,1
19256,2.0,14.0,14.0,73.1299999999992,67
25444,0.0,0.0,0.0,0.0,12
10682,0.0,0.0,0.0,0.0,1
9883,0.0,0.0,0.0,0.0,1
19960,5.0,23.0,23.0,10.0,88
22385,0.0,0.0,0.0,0.0,3
17815,0.0,0.0,0.0,0.0,2
6539,1.0,2.0,2.0,0.0,25
17115,0.0,0.0,0.0,0.0,4
23351,6.0,50.0,49.0,73.1299999999992,253
1864,0.0,0.0,0.0,0.0,1
14721,5.0,28.0,28.0,22.0,74
10144,3.0,22.0,21.0,33.0,134
2995,0.0,0.0,0.0,0.0,1
1493,2.0,8.0,8.0,1.0,30
24977,0.0,0.0,0.0,0.0,4
